Movie_Duration_Min,Genre,Budget_Million,IMDb_Rating,Language,Lead_Actor_Popularity,Marketing_Spend_Million,Box_Office_Million,Director_Rating,Social_Media_Buzz,Critic_Score,Audience_Score,Franchise,Awards_Nominated,Target
149,Action,162.3,7.9,Spanish,93,62.0,293.1,6.8,88,7.6,6.4,Yes,4,Hit
142,Action,288.6,7.0,Hindi,81,110.2,304.6,7.2,28,7.5,5.3,No,3,Hit
116,Thriller,91.0,3.4,English,71,34.7,94.5,5.9,44,5.2,5.5,No,5,Flop
122,Drama,256.4,7.8,Hindi,22,97.9,112.7,5.7,21,4.5,6.3,No,9,Flop
140,Romance,56.6,3.0,Spanish,26,21.6,45.1,5.6,60,5.5,9.2,No,8,Flop
95,Comedy,231.9,5.8,Hindi,5,88.5,556.4,8.9,48,5.5,8.9,Yes,7,Hit
121,Comedy,15.5,7.4,English,3,5.9,8.7,7.3,22,7.9,7.3,No,0,Hit
142,Comedy,234.8,3.4,Spanish,11,89.6,563.3,6.8,17,6.7,5.2,No,5,Hit
135,Comedy,6.6,4.6,Spanish,43,2.5,15.3,5.1,24,5.2,6.2,Yes,7,Flop
115,Comedy,250.8,7.4,English,71,95.8,395.2,8.9,71,6.8,5.5,No,2,Hit
163,Romance,213.4,5.3,Hindi,98,81.5,284.4,7.0,67,4.7,8.4,Yes,5,Hit
116,Action,117.8,3.2,Spanish,93,45.0,37.8,6.1,46,8.2,9.4,Yes,8,Flop
122,Action,240.1,5.6,Hindi,70,91.7,544.8,4.6,48,7.0,8.9,Yes,5,Hit
166,Comedy,164.0,8.4,English,11,62.6,324.9,5.6,80,6.4,6.1,Yes,1,Flop
156,Drama,183.7,4.1,Korean,12,70.1,177.3,5.2,71,6.7,9.4,No,6,Flop
113,Comedy,62.6,8.0,Korean,59,23.9,121.4,4.5,72,5.1,6.8,No,8,Flop
143,Drama,287.3,7.4,English,9,109.7,108.5,8.3,40,7.7,7.9,Yes,5,Hit
112,Drama,85.2,4.5,Korean,69,32.5,59.1,8.7,54,6.4,8.6,Yes,8,Flop
114,Thriller,162.6,4.5,Korean,65,62.1,220.2,7.6,26,8.4,4.7,No,0,Hit
126,Drama,298.1,6.9,Korean,6,113.8,467.8,6.7,89,7.2,6.0,Yes,1,Hit
85,Thriller,257.7,4.1,French,19,98.4,166.2,6.1,95,8.8,9.4,Yes,5,Flop
117,Romance,231.5,9.0,French,6,88.4,276.6,5.3,16,5.9,7.7,Yes,5,Hit
157,Romance,69.7,3.2,Spanish,53,26.6,123.6,7.8,44,4.8,5.5,No,3,Hit
128,Romance,181.2,8.8,Korean,11,69.2,228.7,5.4,60,4.7,5.8,No,1,Flop
97,Action,276.4,4.6,Spanish,43,105.5,131.7,7.2,35,5.8,9.1,No,4,Flop
142,Action,216.7,4.0,Korean,22,82.7,189.8,6.9,83,4.6,8.0,Yes,9,Flop
92,Thriller,175.5,9.2,English,51,67.0,130.4,5.3,86,8.0,5.3,Yes,0,Flop
163,Thriller,58.4,6.4,English,73,22.3,41.4,7.0,36,7.7,9.0,Yes,2,Flop
140,Drama,126.5,7.3,Spanish,71,48.3,121.5,7.3,40,5.5,5.1,Yes,7,Flop
150,Action,101.2,3.2,Spanish,32,38.6,88.2,6.3,94,7.2,8.2,No,6,Flop
142,Thriller,205.5,9.5,Korean,79,78.5,415.9,8.7,77,8.4,7.8,Yes,8,Hit
160,Drama,255.1,3.9,French,69,97.4,460.2,6.9,65,7.7,4.4,Yes,7,Hit
94,Thriller,95.8,3.6,French,45,36.6,176.0,7.1,44,6.3,5.9,Yes,6,Hit
178,Romance,245.1,7.9,Hindi,97,93.6,108.1,5.5,11,7.7,9.1,No,1,Flop
154,Drama,7.9,6.9,Spanish,48,3.0,6.2,7.3,80,5.8,4.3,Yes,8,Flop
102,Romance,165.0,9.2,English,84,63.0,298.0,6.9,98,8.3,5.8,No,1,Hit
137,Action,281.2,5.5,Spanish,59,107.4,357.2,6.3,13,4.6,4.7,No,7,Flop
115,Drama,263.5,8.4,Spanish,72,100.6,473.3,4.6,77,4.3,9.3,Yes,2,Hit
118,Thriller,5.1,4.8,Hindi,75,1.9,5.1,6.1,83,7.3,7.1,No,6,Flop
111,Thriller,196.3,6.0,Hindi,24,74.9,405.4,5.8,17,6.3,6.6,No,8,Flop
138,Romance,76.4,4.1,Korean,68,29.2,178.1,4.2,12,4.8,6.9,Yes,3,Flop
85,Drama,13.1,4.5,French,93,5.0,10.2,5.4,18,4.9,6.7,Yes,5,Flop
128,Thriller,193.9,3.9,Korean,12,74.0,151.2,9.4,88,8.5,6.2,No,7,Flop
138,Action,196.6,9.0,Spanish,40,75.1,162.7,7.1,51,7.9,4.8,Yes,6,Flop
149,Thriller,86.0,3.1,Korean,47,32.8,106.7,8.0,74,9.1,4.1,Yes,8,Hit
156,Comedy,223.5,8.2,Korean,59,85.3,555.5,6.6,91,8.5,7.2,No,9,Hit
116,Action,120.7,7.0,French,42,46.1,207.5,4.7,21,9.0,6.5,No,2,Hit
159,Action,76.1,6.5,Korean,92,29.1,68.0,4.0,39,9.3,5.4,No,9,Flop
96,Romance,263.9,3.5,French,25,100.8,188.7,8.8,36,5.7,6.5,Yes,4,Flop
176,Action,64.2,6.3,Hindi,4,24.5,79.4,7.3,71,7.1,9.3,No,7,Hit
176,Action,16.6,8.6,English,85,6.3,32.3,7.4,74,8.3,7.9,No,2,Hit
146,Comedy,30.4,7.3,English,99,11.6,73.3,4.9,12,8.2,8.4,No,9,Hit
98,Thriller,71.1,7.2,English,8,27.1,128.3,7.8,36,6.2,8.3,No,5,Hit
109,Drama,9.8,7.0,Korean,34,3.7,21.6,4.8,24,6.2,5.2,No,6,Flop
81,Thriller,93.3,7.9,French,32,35.6,57.3,8.8,72,7.3,4.5,Yes,0,Flop
152,Romance,32.2,4.3,Korean,45,12.3,61.8,7.2,24,9.2,9.2,No,8,Hit
152,Thriller,123.6,7.6,Korean,34,47.2,307.9,5.1,16,8.9,6.3,Yes,9,Hit
159,Drama,296.0,6.5,French,20,113.0,703.5,8.8,70,5.2,4.1,Yes,8,Hit
156,Thriller,141.3,5.2,English,18,53.9,310.4,6.9,69,6.5,4.9,No,0,Flop
169,Comedy,248.3,4.7,Hindi,91,94.8,348.3,7.7,44,4.4,8.2,No,8,Hit
168,Drama,20.6,6.5,Korean,14,7.9,8.7,8.3,50,8.1,5.7,No,8,Flop
154,Comedy,173.2,4.3,French,22,66.1,103.0,6.9,21,7.9,9.1,Yes,5,Flop
178,Action,146.1,8.3,Hindi,66,55.8,112.3,9.1,62,6.2,5.7,No,1,Flop
95,Comedy,188.2,4.7,French,99,71.9,268.2,6.4,31,5.2,5.9,No,4,Flop
127,Romance,82.3,8.7,Spanish,33,31.4,143.3,5.2,73,6.7,4.4,No,5,Hit
88,Thriller,96.6,5.7,Spanish,67,36.9,226.4,4.1,15,6.9,6.4,Yes,4,Hit
113,Comedy,147.3,8.5,French,92,56.2,238.4,7.7,71,5.3,8.6,No,4,Hit
97,Drama,124.5,3.7,Spanish,47,47.5,41.7,7.1,11,5.5,7.6,Yes,6,Flop
124,Comedy,221.1,8.1,French,82,84.4,520.7,5.5,19,6.7,4.3,No,6,Hit
81,Drama,263.6,7.3,Spanish,42,100.6,223.6,8.4,29,8.4,9.2,No,4,Hit
121,Romance,126.3,6.7,Hindi,1,48.2,40.2,6.1,31,9.1,5.7,Yes,1,Flop
151,Thriller,46.0,4.4,French,15,17.6,31.7,8.0,16,6.2,8.8,Yes,4,Flop
100,Action,163.7,8.6,Korean,51,62.5,83.9,8.1,61,5.0,7.4,Yes,5,Flop
174,Action,274.6,7.7,Spanish,98,104.8,477.6,6.1,40,4.6,6.1,Yes,8,Flop
156,Comedy,101.7,8.1,Hindi,13,38.8,64.3,4.3,17,6.8,4.6,Yes,1,Flop
175,Romance,8.5,7.2,Spanish,34,3.2,6.6,5.7,93,7.0,4.2,Yes,1,Flop
130,Thriller,240.4,8.6,Hindi,83,91.8,436.8,8.5,43,9.1,6.3,No,2,Hit
141,Action,65.6,6.0,Spanish,3,25.0,116.4,6.7,69,6.4,6.3,No,0,Flop
125,Comedy,98.4,7.6,English,12,37.6,136.9,4.5,88,4.1,8.5,No,4,Hit
124,Romance,285.6,8.5,Korean,87,109.0,590.4,8.6,50,5.6,6.6,Yes,2,Hit
165,Romance,5.7,8.4,Spanish,36,2.2,7.1,4.9,26,7.0,6.5,Yes,6,Hit
99,Romance,225.0,4.6,Korean,67,85.9,107.0,6.6,89,4.4,7.1,Yes,2,Flop
155,Comedy,290.6,7.6,Spanish,22,110.9,562.2,5.4,53,5.8,9.4,No,3,Hit
172,Drama,126.1,9.0,Hindi,76,48.1,67.5,6.4,76,6.5,8.7,Yes,3,Flop
145,Comedy,157.4,5.5,French,70,60.1,96.0,6.1,82,4.3,4.8,No,4,Flop
109,Thriller,278.8,5.1,Spanish,95,106.4,541.0,6.9,56,6.1,6.3,Yes,9,Flop
94,Action,219.0,7.1,English,10,83.6,356.5,8.2,14,5.3,6.7,Yes,7,Hit
166,Action,146.5,5.1,English,4,55.9,254.6,8.5,19,5.9,4.5,No,0,Hit
119,Action,224.5,3.9,Hindi,80,85.7,154.6,4.2,22,8.8,5.4,Yes,2,Flop
161,Drama,188.2,5.1,French,68,71.9,172.4,5.6,28,6.4,9.5,No,4,Flop
142,Drama,262.6,4.0,English,60,100.3,599.1,6.1,46,7.5,6.4,Yes,3,Hit
159,Romance,187.0,3.8,Spanish,61,71.4,73.4,5.7,48,7.3,7.1,Yes,2,Flop
106,Comedy,252.6,5.4,English,77,96.4,216.5,4.1,89,4.8,6.1,No,2,Flop
94,Drama,224.0,7.0,French,24,85.5,294.4,8.9,26,5.7,5.2,Yes,9,Hit
112,Romance,73.0,7.2,French,44,27.9,160.4,5.9,11,9.0,9.2,No,8,Hit
136,Drama,147.4,6.8,Hindi,91,56.3,339.9,8.0,81,5.3,7.9,Yes,1,Hit
103,Romance,95.2,4.1,Korean,83,36.3,49.3,6.1,47,8.9,5.6,Yes,0,Flop
151,Thriller,194.6,6.9,Korean,17,74.3,481.1,5.4,73,8.8,6.1,No,4,Hit
107,Comedy,256.1,3.9,Spanish,40,97.8,131.5,8.3,53,6.5,5.6,No,7,Flop
110,Drama,202.8,6.3,Korean,54,77.4,87.3,5.2,93,8.3,4.3,No,7,Flop
104,Action,245.3,7.0,Korean,13,93.7,248.1,5.4,24,7.1,6.2,No,3,Hit
156,Thriller,184.8,8.1,Hindi,37,70.6,329.9,8.3,71,5.4,5.1,Yes,6,Hit
114,Thriller,267.4,8.5,French,43,102.1,364.3,6.3,13,5.3,6.5,No,0,Flop
138,Romance,83.9,3.3,Hindi,33,32.0,190.4,5.1,89,6.4,4.3,Yes,7,Flop
157,Romance,166.2,4.3,Spanish,72,63.5,372.0,4.7,12,5.1,5.5,Yes,7,Flop
142,Romance,214.9,9.3,English,25,82.0,81.9,8.1,13,8.6,4.2,No,2,Flop
142,Drama,204.0,7.2,Hindi,34,77.9,115.5,6.1,11,8.6,7.3,Yes,9,Flop
118,Comedy,83.7,8.1,Korean,21,32.0,120.7,9.1,37,8.7,7.2,Yes,4,Hit
80,Drama,177.6,7.0,French,69,67.8,152.1,6.7,14,7.5,5.0,Yes,6,Flop
94,Thriller,253.5,4.2,Spanish,90,96.8,524.9,6.8,30,8.8,5.6,Yes,5,Hit
139,Drama,109.8,5.2,Korean,33,41.9,204.5,4.6,26,5.7,7.9,No,1,Hit
134,Thriller,291.5,8.6,French,43,111.3,529.5,5.0,52,4.6,4.7,No,9,Flop
162,Action,266.5,9.2,French,8,101.7,446.2,6.9,76,5.8,4.7,No,1,Flop
179,Comedy,18.6,8.8,Spanish,95,7.1,38.0,6.5,27,4.7,6.9,Yes,0,Flop
80,Drama,176.8,8.4,English,33,67.5,87.3,7.4,31,4.6,7.6,Yes,2,Flop
82,Romance,287.3,5.5,Korean,51,109.7,140.8,6.9,17,8.9,7.3,Yes,8,Flop
178,Romance,178.5,5.4,Korean,39,68.1,71.1,5.9,48,7.0,8.9,Yes,6,Flop
119,Drama,120.0,7.8,French,67,45.8,83.2,5.5,10,6.2,6.7,No,0,Flop
116,Romance,34.6,5.5,English,99,13.2,70.9,6.3,91,6.5,4.4,No,3,Flop
165,Drama,138.6,6.9,French,31,52.9,212.4,6.5,49,5.4,5.8,Yes,6,Flop
113,Comedy,229.4,3.2,Hindi,98,87.6,553.8,7.8,70,4.7,8.5,No,2,Hit
143,Thriller,45.8,8.0,French,27,17.5,110.2,5.8,19,8.4,5.9,Yes,0,Hit
96,Thriller,111.3,4.6,Hindi,24,42.5,121.4,4.5,96,5.8,9.1,Yes,6,Hit
108,Drama,22.4,4.0,Spanish,92,8.6,25.2,6.0,18,6.8,6.7,Yes,5,Hit
89,Action,213.8,6.7,French,93,81.6,137.6,6.7,74,9.3,4.7,No,9,Flop
111,Romance,109.0,3.5,English,29,41.6,94.5,9.5,58,6.7,6.9,No,1,Flop
101,Drama,44.9,7.7,Spanish,20,17.1,16.1,5.3,61,8.9,4.4,No,3,Flop
103,Thriller,252.2,8.4,Hindi,63,96.3,128.0,5.2,76,6.2,5.2,Yes,9,Flop
103,Drama,126.2,5.4,Korean,64,48.2,176.2,9.4,45,6.9,5.1,Yes,9,Hit
83,Thriller,165.8,5.7,French,96,63.3,320.6,8.1,91,8.4,5.6,Yes,2,Hit
164,Drama,183.3,7.2,English,84,70.0,232.6,5.5,52,6.2,6.1,Yes,3,Flop
164,Drama,210.4,8.5,English,5,80.3,503.5,8.9,68,6.0,9.0,Yes,3,Hit
105,Thriller,180.2,3.1,Korean,76,68.8,146.4,7.2,27,4.8,8.0,Yes,2,Flop
107,Comedy,110.6,3.2,Hindi,97,42.2,139.9,6.8,47,8.9,5.1,Yes,7,Hit
108,Thriller,290.2,4.4,Spanish,46,110.8,471.7,7.9,30,5.6,9.1,No,5,Hit
164,Drama,239.0,3.8,English,11,91.2,573.8,7.4,88,5.7,5.9,Yes,8,Hit
90,Romance,226.7,4.8,English,78,86.6,273.6,7.3,67,6.7,5.6,No,7,Hit
133,Drama,39.3,5.2,Hindi,28,15.0,86.2,9.0,82,8.6,9.0,Yes,9,Hit
169,Comedy,159.3,6.6,English,62,60.8,367.2,7.1,50,4.4,4.3,No,1,Hit
86,Action,284.5,5.0,Spanish,58,108.6,339.5,5.2,43,5.1,5.1,No,7,Flop
152,Thriller,63.0,8.0,French,46,24.1,103.7,7.1,74,5.1,9.1,Yes,8,Hit
133,Action,293.0,6.4,Hindi,89,111.9,422.9,8.4,44,6.7,6.5,Yes,5,Hit
117,Drama,289.1,8.8,French,81,110.4,232.7,8.1,76,7.9,8.1,Yes,2,Hit
129,Thriller,64.5,3.4,Spanish,87,24.6,20.7,7.4,53,7.3,4.7,Yes,8,Flop
126,Action,50.8,5.8,Spanish,78,19.4,17.2,4.2,79,8.3,4.6,No,8,Flop
123,Comedy,186.5,7.3,French,74,71.2,335.8,9.4,41,8.9,7.3,No,4,Hit
126,Romance,92.7,4.1,Hindi,75,35.4,203.7,7.1,72,6.6,9.4,Yes,3,Hit
169,Comedy,182.2,3.7,Korean,92,69.6,211.2,6.1,33,5.9,8.4,Yes,5,Hit
83,Comedy,286.1,4.6,English,57,109.2,148.9,5.2,11,7.1,8.9,Yes,4,Flop
159,Comedy,84.2,8.5,Korean,78,32.1,126.4,6.3,33,7.3,4.6,No,1,Hit
123,Thriller,288.9,9.0,Hindi,91,110.3,378.7,9.3,69,5.7,6.1,Yes,8,Hit
176,Romance,245.8,5.2,Hindi,18,93.8,213.2,6.0,63,8.4,7.6,No,5,Flop
99,Action,32.4,3.4,Hindi,86,12.4,35.6,7.6,70,4.6,6.4,Yes,4,Hit
132,Action,156.0,4.2,Korean,79,59.6,48.4,4.0,26,7.5,5.6,No,7,Flop
90,Drama,153.6,7.2,French,53,58.6,351.8,9.3,49,5.6,4.9,No,5,Hit
90,Comedy,279.2,6.8,English,25,106.6,544.7,7.0,86,6.5,6.9,Yes,3,Flop
140,Romance,15.0,8.4,Korean,14,5.7,32.8,4.1,25,6.8,5.7,No,5,Hit
179,Thriller,159.0,9.1,English,21,60.7,56.6,4.0,66,4.2,5.2,Yes,7,Flop
171,Drama,18.7,7.9,Hindi,18,7.1,14.5,6.3,80,5.3,7.9,No,5,Flop
119,Action,296.3,8.0,English,74,113.1,419.4,6.9,35,4.4,8.9,Yes,1,Hit
102,Comedy,283.6,6.4,English,2,108.3,633.6,7.8,42,9.2,9.3,Yes,6,Hit
150,Thriller,87.4,7.5,Hindi,81,33.4,43.2,9.0,66,4.5,8.1,Yes,3,Flop
89,Drama,62.5,8.7,Spanish,58,23.9,82.1,6.0,79,7.2,8.6,No,7,Hit
92,Comedy,96.3,9.3,English,57,36.8,142.2,5.9,86,5.4,6.8,Yes,1,Flop
155,Comedy,152.6,9.0,Korean,26,58.3,78.8,7.2,13,8.0,8.2,No,4,Hit
82,Thriller,296.7,3.5,French,8,113.3,587.0,5.8,81,9.0,8.4,No,2,Hit
111,Romance,142.5,6.7,French,99,54.4,148.0,6.4,15,5.6,8.3,Yes,0,Hit
156,Drama,230.7,5.5,English,94,88.1,484.8,6.6,67,9.4,4.7,No,3,Hit
150,Romance,46.1,4.7,Spanish,39,17.6,108.6,6.6,33,4.1,4.1,Yes,6,Flop
165,Thriller,96.1,3.6,Spanish,45,36.7,55.3,4.5,89,9.1,8.5,Yes,6,Flop
146,Thriller,37.1,8.2,French,45,14.2,69.6,9.3,52,6.0,6.2,Yes,4,Hit
100,Romance,105.9,7.3,Spanish,87,40.4,34.2,5.6,51,8.8,6.6,Yes,9,Flop
104,Thriller,45.9,4.7,Korean,15,17.5,34.2,5.4,89,8.0,9.0,Yes,5,Flop
97,Action,96.2,9.0,Spanish,47,36.7,195.9,5.2,88,4.1,9.1,Yes,6,Hit
96,Romance,123.6,6.4,Hindi,7,47.2,231.9,4.5,53,7.5,6.9,No,9,Hit
95,Drama,235.6,5.9,English,51,89.9,433.9,7.5,62,7.6,9.1,No,1,Hit
136,Romance,51.9,7.8,English,99,19.8,49.8,7.2,86,5.5,8.5,Yes,9,Flop
125,Drama,261.1,8.4,French,18,99.7,244.2,5.8,54,5.6,7.0,Yes,3,Flop
125,Comedy,228.4,7.8,English,64,87.2,428.5,6.2,67,4.5,8.7,Yes,1,Hit
123,Drama,176.9,4.5,Korean,94,67.5,426.7,4.9,70,5.0,6.7,Yes,8,Flop
116,Comedy,226.8,5.9,Spanish,1,86.6,497.8,6.3,58,8.6,7.5,Yes,4,Hit
172,Thriller,155.4,8.5,Hindi,12,59.3,69.7,7.4,97,5.2,7.6,Yes,6,Flop
175,Comedy,29.3,7.8,Korean,40,11.2,50.3,8.3,15,5.1,4.3,No,9,Hit
178,Thriller,67.6,3.5,Hindi,18,25.8,90.7,4.7,32,5.5,4.7,No,6,Flop
82,Romance,206.3,5.4,Korean,87,78.8,280.7,4.2,36,4.3,7.9,No,6,Hit
178,Action,41.1,6.6,Spanish,36,15.7,55.7,4.2,14,9.3,7.4,Yes,0,Hit
145,Comedy,8.0,8.8,Spanish,77,3.1,18.4,7.8,38,8.2,9.3,Yes,2,Hit
128,Romance,44.0,5.4,English,28,16.8,108.8,6.3,55,7.4,5.3,No,2,Hit
122,Action,281.2,3.7,Spanish,35,107.4,237.9,7.2,57,7.3,4.6,Yes,8,Flop
108,Comedy,59.2,3.4,Hindi,63,22.6,47.3,8.1,51,6.7,4.2,Yes,2,Flop
140,Romance,135.0,3.3,Korean,40,51.5,236.6,5.0,62,8.4,7.9,No,8,Hit
157,Drama,57.6,8.3,English,62,22.0,72.4,8.4,51,4.1,5.0,No,4,Hit
112,Romance,235.1,5.0,French,28,89.8,367.2,4.9,73,5.4,4.6,No,7,Flop
105,Thriller,116.2,3.7,Korean,63,44.4,69.9,8.6,90,5.5,7.6,No,2,Flop
123,Comedy,177.5,4.6,English,13,67.8,397.7,4.3,60,4.4,4.1,No,0,Flop
104,Romance,39.0,6.6,Hindi,97,14.9,47.8,4.2,54,9.4,8.0,No,2,Hit
158,Action,58.8,6.5,English,20,22.4,62.9,4.8,59,8.2,7.6,Yes,1,Hit
80,Romance,211.7,5.6,Hindi,91,80.8,293.3,6.2,35,8.7,4.5,No,8,Hit
140,Thriller,99.7,9.3,Spanish,96,38.1,102.7,8.8,15,8.2,5.6,No,7,Hit
90,Thriller,276.0,9.0,English,72,105.4,165.1,7.7,49,6.6,6.1,Yes,2,Flop
162,Romance,31.8,8.9,English,75,12.1,37.6,4.9,39,6.3,4.8,Yes,9,Flop
173,Action,121.8,3.2,Korean,75,46.5,110.8,6.7,47,7.3,4.4,Yes,1,Flop
138,Thriller,78.0,6.8,Spanish,58,29.8,157.5,6.5,14,5.0,8.4,No,7,Hit
153,Comedy,260.3,7.3,Spanish,83,99.4,145.5,7.9,87,6.8,4.4,Yes,0,Flop
